cohort_id,covariate_id,mean,sd,database_id
7361,321042210,0.143,0.383,MDCD
7361,321042212,0.143,0.383,MDCD
7361,321588210,0.143,0.383,MDCD
7361,321588212,0.143,0.383,MDCD
7361,373087210,-0.143,NA,MDCD
7361,373087212,-0.143,NA,MDCD
7361,373425210,-0.143,NA,MDCD
7361,373425212,-0.143,NA,MDCD
7361,373718210,-0.143,NA,MDCD
7361,373718212,-0.143,NA,MDCD
7361,373724210,-0.143,NA,MDCD
7361,373724212,-0.143,NA,MDCD
7361,374631210,-0.143,NA,MDCD
7361,374631212,-0.143,NA,MDCD
7361,376647210,-0.143,NA,MDCD
7361,376647212,-0.143,NA,MDCD
7361,376713210,-0.143,NA,MDCD
7361,376713212,-0.143,NA,MDCD
7361,376918210,-0.143,NA,MDCD
7361,376918212,-0.143,NA,MDCD
7361,377845210,-0.143,NA,MDCD
7361,377845212,-0.143,NA,MDCD
7361,380055210,-0.143,NA,MDCD
7361,380055212,-0.143,NA,MDCD
7361,381591210,-0.143,NA,MDCD
7361,432843210,-0.143,NA,MDCD
7361,432843212,-0.143,NA,MDCD
7361,432851210,0.2,0.454,MDCD
7361,432851212,0.2,0.454,MDCD
7361,433435210,-0.143,NA,MDCD
7361,433435212,-0.143,NA,MDCD
7361,433740210,-0.143,NA,MDCD
7361,433740212,-0.143,NA,MDCD
7361,434008210,-0.143,NA,MDCD
7361,434008212,-0.143,NA,MDCD
7361,434293210,-0.143,NA,MDCD
7361,434293212,-0.143,NA,MDCD
7361,435515210,-0.143,NA,MDCD
7361,435515212,-0.143,NA,MDCD
7361,437312210,-0.143,NA,MDCD
7361,437312212,-0.143,NA,MDCD
7361,437409210,-0.143,NA,MDCD
7361,437409212,-0.143,NA,MDCD
7361,437663210,-0.143,NA,MDCD
7361,437663212,-0.143,NA,MDCD
7361,437677210,-0.143,NA,MDCD
7361,437677212,-0.143,NA,MDCD
7361,438089210,-0.143,NA,MDCD
7361,438089212,-0.143,NA,MDCD
7361,438112210,0.6,0.786,MDCD
7361,438112212,0.6,0.786,MDCD
7361,439040210,-0.143,NA,MDCD
7361,439040212,-0.143,NA,MDCD
7361,439392210,0.543,0.747,MDCD
7361,439392212,0.543,0.747,MDCD
7361,439676210,-0.143,NA,MDCD
7361,439676212,-0.143,NA,MDCD
7361,439751210,-0.143,NA,MDCD
7361,439751212,-0.143,NA,MDCD
7361,439847210,-0.143,NA,MDCD
7361,439847212,-0.143,NA,MDCD
7361,439926210,-0.143,NA,MDCD
7361,439926212,-0.143,NA,MDCD
7361,440029210,-0.143,NA,MDCD
7361,440029212,-0.143,NA,MDCD
7361,440689210,-0.143,NA,MDCD
7361,440689212,-0.143,NA,MDCD
7361,440921210,-0.143,NA,MDCD
7361,440921212,-0.143,NA,MDCD
7361,441969210,-0.143,NA,MDCD
7361,441969212,-0.143,NA,MDCD
7361,442131210,-0.143,NA,MDCD
7361,442131212,-0.143,NA,MDCD
7361,442132210,-0.143,NA,MDCD
7361,442132212,-0.143,NA,MDCD
7361,442793210,-0.143,NA,MDCD
7361,443258210,-0.143,NA,MDCD
7361,443258212,-0.143,NA,MDCD
7361,443387210,-0.143,NA,MDCD
7361,443387212,-0.143,NA,MDCD
7361,443388210,0.2,0.454,MDCD
7361,443388212,0.2,0.454,MDCD
7361,443390210,-0.143,NA,MDCD
7361,443390212,-0.143,NA,MDCD
7361,443392210,0.543,0.747,MDCD
7361,443392212,0.543,0.747,MDCD
7361,443396210,-0.143,NA,MDCD
7361,443396212,-0.143,NA,MDCD
7361,443398210,-0.143,NA,MDCD
7361,443398212,-0.143,NA,MDCD
7361,443400210,-0.143,NA,MDCD
7361,443400212,-0.143,NA,MDCD
7361,443564210,-0.143,NA,MDCD
7361,443564212,-0.143,NA,MDCD
7361,443568210,-0.143,NA,MDCD
7361,443568212,-0.143,NA,MDCD
7361,443588210,-0.143,NA,MDCD
7361,443588212,-0.143,NA,MDCD
7361,443752210,-0.143,NA,MDCD
7361,443752212,-0.143,NA,MDCD
7361,444200210,-0.143,NA,MDCD
7361,444200212,-0.143,NA,MDCD
7361,444204210,-0.143,NA,MDCD
7361,444204212,-0.143,NA,MDCD
7361,444209210,-0.143,NA,MDCD
7361,444209212,-0.143,NA,MDCD
7361,701322410,-0.143,NA,MDCD
7361,701322412,-0.143,NA,MDCD
7361,706163702,0.971,1,MDCD
7361,706163704,0.971,1,MDCD
7361,708298410,0.171,0.42,MDCD
7361,708298412,-0.143,NA,MDCD
7361,710062410,-0.143,NA,MDCD
7361,710062412,-0.143,NA,MDCD
7361,710062413,-0.143,NA,MDCD
7361,711584410,-0.143,NA,MDCD
7361,711584412,-0.143,NA,MDCD
7361,715233410,-0.143,NA,MDCD
7361,715233412,-0.143,NA,MDCD
7361,715939410,-0.143,NA,MDCD
7361,715939412,-0.143,NA,MDCD
7361,715939413,-0.143,NA,MDCD
7361,715997410,-0.143,NA,MDCD
7361,715997412,-0.143,NA,MDCD
7361,723013410,-0.143,NA,MDCD
7361,723013412,-0.143,NA,MDCD
7361,732893410,-0.143,NA,MDCD
7361,734354410,-0.143,NA,MDCD
7361,734354412,-0.143,NA,MDCD
7361,743670410,-0.143,NA,MDCD
7361,743670412,-0.143,NA,MDCD
7361,744740410,-0.143,NA,MDCD
7361,744740412,-0.143,NA,MDCD
7361,744740413,-0.143,NA,MDCD
7361,753626410,0.143,0.383,MDCD
7361,753626412,-0.143,NA,MDCD
7361,764800210,-0.143,NA,MDCD
7361,764800212,-0.143,NA,MDCD
7361,766529410,-0.143,NA,MDCD
7361,766529412,-0.143,NA,MDCD
7361,766529413,-0.143,NA,MDCD
7361,766814410,-0.143,NA,MDCD
7361,766814412,-0.143,NA,MDCD
7361,781039410,-0.143,NA,MDCD
7361,781039412,-0.143,NA,MDCD
7361,781039413,-0.143,NA,MDCD
7361,787787410,-0.143,NA,MDCD
7361,787787412,-0.143,NA,MDCD
7361,789578410,-0.143,NA,MDCD
7361,789578412,-0.143,NA,MDCD
7361,794852410,-0.143,NA,MDCD
7361,794852412,-0.143,NA,MDCD
7361,794852413,-0.143,NA,MDCD
7361,797399410,-0.143,NA,MDCD
7361,797399412,-0.143,NA,MDCD
7361,901318410,-0.143,NA,MDCD
7361,901318412,-0.143,NA,MDCD
7361,902722410,-0.143,NA,MDCD
7361,903893410,-0.143,NA,MDCD
7361,903963410,-0.143,NA,MDCD
7361,903963412,-0.143,NA,MDCD
7361,904453410,-0.143,NA,MDCD
7361,904453412,-0.143,NA,MDCD
7361,904453413,-0.143,NA,MDCD
7361,906780410,0.2,0.454,MDCD
7361,906780412,-0.143,NA,MDCD
7361,911735410,-0.143,NA,MDCD
7361,911735412,-0.143,NA,MDCD
7361,911735413,-0.143,NA,MDCD
7361,912362410,-0.143,NA,MDCD
7361,912362412,-0.143,NA,MDCD
7361,912362413,-0.143,NA,MDCD
7361,914335410,-0.143,NA,MDCD
7361,914335412,-0.143,NA,MDCD
7361,914335413,-0.143,NA,MDCD
7361,915981410,-0.143,NA,MDCD
7361,917205410,-0.143,NA,MDCD
7361,923081410,-0.143,NA,MDCD
7361,929887410,0.229,0.485,MDCD
7361,929887412,0.229,0.485,MDCD
7361,929887413,-0.143,NA,MDCD
7361,939259410,-0.143,NA,MDCD
7361,939259412,-0.143,NA,MDCD
7361,939506410,0.429,0.664,MDCD
7361,939506412,0.429,0.664,MDCD
7361,939506413,0.171,0.42,MDCD
7361,939976410,-0.143,NA,MDCD
7361,939976412,-0.143,NA,MDCD
7361,942350410,-0.143,NA,MDCD
7361,942350412,-0.143,NA,MDCD
7361,948078410,0.4,0.641,MDCD
7361,948078412,0.371,0.618,MDCD
7361,948078413,0.2,0.454,MDCD
7361,948582410,-0.143,NA,MDCD
7361,951511410,0.143,0.383,MDCD
7361,951511412,-0.143,NA,MDCD
7361,953076410,0.229,0.485,MDCD
7361,953076412,0.171,0.42,MDCD
7361,953076413,-0.143,NA,MDCD
7361,955583410,-0.143,NA,MDCD
7361,955632410,-0.143,NA,MDCD
7361,956874410,0.486,0.707,MDCD
7361,956874412,0.4,0.641,MDCD
7361,956874413,-0.143,NA,MDCD
7361,961047410,-0.143,NA,MDCD
7361,961145410,-0.143,NA,MDCD
7361,961145412,-0.143,NA,MDCD
7361,967823410,1,1.014,MDCD
7361,967823412,0.971,1,MDCD
7361,967823413,0.714,0.857,MDCD
7361,970250410,-0.143,NA,MDCD
7361,970250412,-0.143,NA,MDCD
7361,974166410,-0.143,NA,MDCD
7361,975125410,0.2,0.454,MDCD
7361,975125412,0.171,0.42,MDCD
7361,975125413,-0.143,NA,MDCD
7361,976545410,-0.143,NA,MDCD
7361,977968410,-0.143,NA,MDCD
7361,986417410,-0.143,NA,MDCD
7361,986417412,-0.143,NA,MDCD
7361,987245410,0.314,0.569,MDCD
7361,987245412,0.229,0.485,MDCD
7361,987245413,-0.143,NA,MDCD
7361,988095410,-0.143,NA,MDCD
7361,988095412,-0.143,NA,MDCD
7361,988095413,-0.143,NA,MDCD
7361,988294410,0.257,0.514,MDCD
7361,988294412,0.2,0.454,MDCD
7361,989482410,-0.143,NA,MDCD
7361,989482412,-0.143,NA,MDCD
7361,989482413,-0.143,NA,MDCD
7361,989878410,0.229,0.485,MDCD
7361,989878412,-0.143,NA,MDCD
7361,990499410,0.143,0.383,MDCD
7361,990499412,-0.143,NA,MDCD
7361,991382410,-0.143,NA,MDCD
7361,991382412,-0.143,NA,MDCD
