either_subjects,both_subjects,t_only_subjects,c_only_subjects,t_before_c_subjects,c_before_t_subjects,same_day_subjects,t_in_c_subjects,c_in_t_subjects,target_cohort_id,comparator_cohort_id,database_id
15,0,-5,13,NA,NA,NA,NA,NA,7364,7396,MDCD
38,-5,25,12,0,-5,0,-5,0,7367,7396,MDCD
16,-5,-5,12,-5,0,0,0,0,7369,7396,MDCD
14,0,-5,13,NA,NA,NA,NA,NA,7370,7396,MDCD
19,-5,6,12,0,-5,0,-5,0,7374,7396,MDCD
19,0,6,13,NA,NA,NA,NA,NA,7376,7396,MDCD
14,0,-5,13,NA,NA,NA,NA,NA,7377,7396,MDCD
15,0,-5,13,NA,NA,NA,NA,NA,7381,7396,MDCD
21,0,8,13,NA,NA,NA,NA,NA,7382,7396,MDCD
45,0,35,10,NA,NA,NA,NA,NA,7361,7398,MDCD
15,0,5,10,NA,NA,NA,NA,NA,7362,7398,MDCD
12,0,-5,10,NA,NA,NA,NA,NA,7364,7398,MDCD
36,0,26,10,NA,NA,NA,NA,NA,7367,7398,MDCD
14,0,-5,10,NA,NA,NA,NA,NA,7369,7398,MDCD
11,0,-5,10,NA,NA,NA,NA,NA,7370,7398,MDCD
17,0,7,10,NA,NA,NA,NA,NA,7374,7398,MDCD
16,0,6,10,NA,NA,NA,NA,NA,7376,7398,MDCD
10,-5,0,9,-5,0,0,0,0,7377,7398,MDCD
12,0,-5,10,NA,NA,NA,NA,NA,7381,7398,MDCD
17,-5,7,9,-5,0,0,0,-5,7382,7398,MDCD
23,0,13,10,NA,NA,NA,NA,NA,7396,7398,MDCD
44,5,30,9,0,-5,-5,5,-5,7361,7399,MDCD
16,-5,-5,11,0,-5,-5,-5,-5,7362,7399,MDCD
16,0,-5,14,NA,NA,NA,NA,NA,7364,7399,MDCD
34,6,20,8,-5,-5,-5,5,-5,7367,7399,MDCD
17,-5,-5,13,0,0,-5,-5,-5,7369,7399,MDCD
15,0,-5,14,NA,NA,NA,NA,NA,7370,7399,MDCD
20,-5,6,13,-5,0,0,0,-5,7374,7399,MDCD
20,0,6,14,NA,NA,NA,NA,NA,7376,7399,MDCD
15,0,-5,14,NA,NA,NA,NA,NA,7377,7399,MDCD
16,0,-5,14,NA,NA,NA,NA,NA,7381,7399,MDCD
22,0,8,14,NA,NA,NA,NA,NA,7382,7399,MDCD
27,0,13,14,NA,NA,NA,NA,NA,7396,7399,MDCD
23,-5,9,13,-5,0,0,0,-5,7398,7399,MDCD
39,0,35,-5,NA,NA,NA,NA,NA,7361,7400,MDCD
9,0,5,-5,NA,NA,NA,NA,NA,7362,7400,MDCD
6,0,-5,-5,NA,NA,NA,NA,NA,7364,7400,MDCD
30,0,26,-5,NA,NA,NA,NA,NA,7367,7400,MDCD
8,0,-5,-5,NA,NA,NA,NA,NA,7369,7400,MDCD
5,0,-5,-5,NA,NA,NA,NA,NA,7370,7400,MDCD
11,0,7,-5,NA,NA,NA,NA,NA,7374,7400,MDCD
10,0,6,-5,NA,NA,NA,NA,NA,7376,7400,MDCD
5,0,-5,-5,NA,NA,NA,NA,NA,7377,7400,MDCD
5,-5,-5,-5,0,-5,0,0,0,7381,7400,MDCD
12,0,8,-5,NA,NA,NA,NA,NA,7382,7400,MDCD
17,0,13,-5,NA,NA,NA,NA,NA,7396,7400,MDCD
13,-5,9,-5,0,-5,0,0,0,7398,7400,MDCD
18,0,14,-5,NA,NA,NA,NA,NA,7399,7400,MDCD
49,0,35,14,NA,NA,NA,NA,NA,7361,7464,MDCD
19,0,5,14,NA,NA,NA,NA,NA,7362,7464,MDCD
16,0,-5,14,NA,NA,NA,NA,NA,7364,7464,MDCD
26,14,12,0,0,0,14,14,14,7367,7464,MDCD
18,0,-5,14,NA,NA,NA,NA,NA,7369,7464,MDCD
14,-5,0,13,-5,0,0,0,-5,7370,7464,MDCD
21,0,7,14,NA,NA,NA,NA,NA,7374,7464,MDCD
20,0,6,14,NA,NA,NA,NA,NA,7376,7464,MDCD
15,0,-5,14,NA,NA,NA,NA,NA,7377,7464,MDCD
16,0,-5,14,NA,NA,NA,NA,NA,7381,7464,MDCD
22,0,8,14,NA,NA,NA,NA,NA,7382,7464,MDCD
26,-5,12,13,-5,0,0,0,-5,7396,7464,MDCD
24,0,10,14,NA,NA,NA,NA,NA,7398,7464,MDCD
28,0,14,14,NA,NA,NA,NA,NA,7399,7464,MDCD
18,0,-5,14,NA,NA,NA,NA,NA,7400,7464,MDCD
40,-5,5,33,-5,0,0,0,-5,14717,7361,MDCD
12,0,7,5,NA,NA,NA,NA,NA,14717,7362,MDCD
9,0,7,-5,NA,NA,NA,NA,NA,14717,7364,MDCD
32,-5,6,25,0,0,-5,-5,-5,14717,7367,MDCD
11,0,7,-5,NA,NA,NA,NA,NA,14717,7369,MDCD
8,0,7,-5,NA,NA,NA,NA,NA,14717,7370,MDCD
14,0,7,7,NA,NA,NA,NA,NA,14717,7374,MDCD
13,0,7,6,NA,NA,NA,NA,NA,14717,7376,MDCD
8,0,7,-5,NA,NA,NA,NA,NA,14717,7377,MDCD
9,0,7,-5,NA,NA,NA,NA,NA,14717,7381,MDCD
14,-5,6,7,-5,0,0,0,0,14717,7382,MDCD
20,0,7,13,NA,NA,NA,NA,NA,14717,7396,MDCD
16,-5,6,9,0,-5,0,0,0,14717,7398,MDCD
20,-5,6,13,0,-5,0,-5,0,14717,7399,MDCD
10,-5,6,-5,0,-5,0,0,0,14717,7400,MDCD
20,-5,6,13,0,0,-5,-5,-5,14717,7464,MDCD
13,0,6,7,NA,NA,NA,NA,NA,14867,14717,MDCD
39,-5,-5,33,-5,0,0,0,0,14867,7361,MDCD
11,0,6,5,NA,NA,NA,NA,NA,14867,7362,MDCD
8,0,6,-5,NA,NA,NA,NA,NA,14867,7364,MDCD
32,0,6,26,NA,NA,NA,NA,NA,14867,7367,MDCD
10,0,6,-5,NA,NA,NA,NA,NA,14867,7369,MDCD
7,0,6,-5,NA,NA,NA,NA,NA,14867,7370,MDCD
13,0,6,7,NA,NA,NA,NA,NA,14867,7374,MDCD
12,0,6,6,NA,NA,NA,NA,NA,14867,7376,MDCD
7,0,6,-5,NA,NA,NA,NA,NA,14867,7377,MDCD
8,0,6,-5,NA,NA,NA,NA,NA,14867,7381,MDCD
14,0,6,8,NA,NA,NA,NA,NA,14867,7382,MDCD
19,0,6,13,NA,NA,NA,NA,NA,14867,7396,MDCD
16,0,6,10,NA,NA,NA,NA,NA,14867,7398,MDCD
20,0,6,14,NA,NA,NA,NA,NA,14867,7399,MDCD
10,0,6,-5,NA,NA,NA,NA,NA,14867,7400,MDCD
20,0,6,14,NA,NA,NA,NA,NA,14867,7464,MDCD
35,5,0,30,0,0,5,5,5,7362,7361,MDCD
37,0,-5,35,NA,NA,NA,NA,NA,7364,7361,MDCD
7,0,-5,5,NA,NA,NA,NA,NA,7364,7362,MDCD
56,5,21,30,-5,0,-5,-5,5,7367,7361,MDCD
26,5,21,0,-5,0,-5,-5,5,7367,7362,MDCD
26,-5,24,0,0,0,-5,-5,-5,7367,7364,MDCD
39,0,-5,35,NA,NA,NA,NA,NA,7369,7361,MDCD
9,0,-5,5,NA,NA,NA,NA,NA,7369,7362,MDCD
6,0,-5,-5,NA,NA,NA,NA,NA,7369,7364,MDCD
28,-5,-5,24,0,0,-5,-5,-5,7369,7367,MDCD
36,0,-5,35,NA,NA,NA,NA,NA,7370,7361,MDCD
6,0,-5,5,NA,NA,NA,NA,NA,7370,7362,MDCD
-5,0,-5,-5,NA,NA,NA,NA,NA,7370,7364,MDCD
26,-5,0,25,-5,0,0,0,-5,7370,7367,MDCD
5,0,-5,-5,NA,NA,NA,NA,NA,7370,7369,MDCD
42,0,7,35,NA,NA,NA,NA,NA,7374,7361,MDCD
12,0,7,5,NA,NA,NA,NA,NA,7374,7362,MDCD
9,0,7,-5,NA,NA,NA,NA,NA,7374,7364,MDCD
32,-5,6,25,-5,0,0,0,-5,7374,7367,MDCD
11,0,7,-5,NA,NA,NA,NA,NA,7374,7369,MDCD
8,0,7,-5,NA,NA,NA,NA,NA,7374,7370,MDCD
41,0,6,35,NA,NA,NA,NA,NA,7376,7361,MDCD
11,0,6,5,NA,NA,NA,NA,NA,7376,7362,MDCD
8,0,6,-5,NA,NA,NA,NA,NA,7376,7364,MDCD
32,0,6,26,NA,NA,NA,NA,NA,7376,7367,MDCD
10,0,6,-5,NA,NA,NA,NA,NA,7376,7369,MDCD
7,0,6,-5,NA,NA,NA,NA,NA,7376,7370,MDCD
13,0,6,7,NA,NA,NA,NA,NA,7376,7374,MDCD
36,0,-5,35,NA,NA,NA,NA,NA,7377,7361,MDCD
6,0,-5,5,NA,NA,NA,NA,NA,7377,7362,MDCD
-5,0,-5,-5,NA,NA,NA,NA,NA,7377,7364,MDCD
27,0,-5,26,NA,NA,NA,NA,NA,7377,7367,MDCD
5,0,-5,-5,NA,NA,NA,NA,NA,7377,7369,MDCD
-5,0,-5,-5,NA,NA,NA,NA,NA,7377,7370,MDCD
8,0,-5,7,NA,NA,NA,NA,NA,7377,7374,MDCD
7,0,-5,6,NA,NA,NA,NA,NA,7377,7376,MDCD
37,0,-5,35,NA,NA,NA,NA,NA,7381,7361,MDCD
7,0,-5,5,NA,NA,NA,NA,NA,7381,7362,MDCD
-5,0,-5,-5,NA,NA,NA,NA,NA,7381,7364,MDCD
28,0,-5,26,NA,NA,NA,NA,NA,7381,7367,MDCD
6,0,-5,-5,NA,NA,NA,NA,NA,7381,7369,MDCD
-5,0,-5,-5,NA,NA,NA,NA,NA,7381,7370,MDCD
9,0,-5,7,NA,NA,NA,NA,NA,7381,7374,MDCD
8,0,-5,6,NA,NA,NA,NA,NA,7381,7376,MDCD
-5,0,-5,-5,NA,NA,NA,NA,NA,7381,7377,MDCD
41,-5,6,33,-5,0,0,0,-5,7382,7361,MDCD
13,0,8,5,NA,NA,NA,NA,NA,7382,7362,MDCD
10,0,8,-5,NA,NA,NA,NA,NA,7382,7364,MDCD
34,0,8,26,NA,NA,NA,NA,NA,7382,7367,MDCD
12,0,8,-5,NA,NA,NA,NA,NA,7382,7369,MDCD
9,0,8,-5,NA,NA,NA,NA,NA,7382,7370,MDCD
15,0,8,7,NA,NA,NA,NA,NA,7382,7374,MDCD
13,-5,7,5,-5,0,0,0,-5,7382,7376,MDCD
8,-5,7,0,0,-5,0,0,0,7382,7377,MDCD
10,0,8,-5,NA,NA,NA,NA,NA,7382,7381,MDCD
48,0,13,35,NA,NA,NA,NA,NA,7396,7361,MDCD
18,0,13,5,NA,NA,NA,NA,NA,7396,7362,MDCD
15,0,13,-5,NA,NA,NA,NA,NA,7396,7364,MDCD
38,-5,12,25,-5,0,0,0,-5,7396,7367,MDCD
16,-5,12,-5,0,-5,0,0,0,7396,7369,MDCD
14,0,13,-5,NA,NA,NA,NA,NA,7396,7370,MDCD
19,-5,12,6,-5,0,0,0,-5,7396,7374,MDCD
19,0,13,6,NA,NA,NA,NA,NA,7396,7376,MDCD
14,0,13,-5,NA,NA,NA,NA,NA,7396,7377,MDCD
15,0,13,-5,NA,NA,NA,NA,NA,7396,7381,MDCD
21,0,13,8,NA,NA,NA,NA,NA,7396,7382,MDCD
45,0,10,35,NA,NA,NA,NA,NA,7398,7361,MDCD
15,0,10,5,NA,NA,NA,NA,NA,7398,7362,MDCD
12,0,10,-5,NA,NA,NA,NA,NA,7398,7364,MDCD
36,0,10,26,NA,NA,NA,NA,NA,7398,7367,MDCD
14,0,10,-5,NA,NA,NA,NA,NA,7398,7369,MDCD
11,0,10,-5,NA,NA,NA,NA,NA,7398,7370,MDCD
17,0,10,7,NA,NA,NA,NA,NA,7398,7374,MDCD
16,0,10,6,NA,NA,NA,NA,NA,7398,7376,MDCD
10,-5,9,0,0,-5,0,0,0,7398,7377,MDCD
12,0,10,-5,NA,NA,NA,NA,NA,7398,7381,MDCD
17,-5,9,7,0,-5,0,-5,0,7398,7382,MDCD
23,0,10,13,NA,NA,NA,NA,NA,7398,7396,MDCD
44,5,9,30,-5,0,-5,-5,5,7399,7361,MDCD
16,-5,11,-5,-5,0,-5,-5,-5,7399,7362,MDCD
16,0,14,-5,NA,NA,NA,NA,NA,7399,7364,MDCD
34,6,8,20,-5,-5,-5,-5,5,7399,7367,MDCD
17,-5,13,-5,0,0,-5,-5,-5,7399,7369,MDCD
15,0,14,-5,NA,NA,NA,NA,NA,7399,7370,MDCD
20,-5,13,6,0,-5,0,-5,0,7399,7374,MDCD
20,0,14,6,NA,NA,NA,NA,NA,7399,7376,MDCD
15,0,14,-5,NA,NA,NA,NA,NA,7399,7377,MDCD
16,0,14,-5,NA,NA,NA,NA,NA,7399,7381,MDCD
22,0,14,8,NA,NA,NA,NA,NA,7399,7382,MDCD
27,0,14,13,NA,NA,NA,NA,NA,7399,7396,MDCD
23,-5,13,9,0,-5,0,-5,0,7399,7398,MDCD
39,0,-5,35,NA,NA,NA,NA,NA,7400,7361,MDCD
9,0,-5,5,NA,NA,NA,NA,NA,7400,7362,MDCD
6,0,-5,-5,NA,NA,NA,NA,NA,7400,7364,MDCD
30,0,-5,26,NA,NA,NA,NA,NA,7400,7367,MDCD
8,0,-5,-5,NA,NA,NA,NA,NA,7400,7369,MDCD
