cohortId,task,checksum,timeStamp,comparatorId
14717,getCohortCounts,ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:51:18Z,NA
14867,getCohortCounts,eb969711a46a33c4db70bd1a7a4f1be1,2020-03-28T08:51:18Z,NA
7396,getCohortCounts,6c817b5690ed843bf21a68861ebf0613,2020-03-28T08:51:18Z,NA
7398,getCohortCounts,8710563ff5aa8f599321da088fc586a3,2020-03-28T08:51:18Z,NA
7382,getCohortCounts,4866ddaca6fc34709cb22ba179ba71db,2020-03-28T08:51:18Z,NA
7374,getCohortCounts,df4abfcd3d59a6896a47d839090084fe,2020-03-28T08:51:18Z,NA
7381,getCohortCounts,91bf9b1f1b23e5b8ce95d91358c90b7a,2020-03-28T08:51:18Z,NA
7400,getCohortCounts,1bbc74563344a4b47aeb9eedfa6475e6,2020-03-28T08:51:18Z,NA
7369,getCohortCounts,c09e26cee3e5d2532156548ee62cf419,2020-03-28T08:51:18Z,NA
7367,getCohortCounts,fe581221c3d08dea4b80399c7ceacd5c,2020-03-28T08:51:18Z,NA
7377,getCohortCounts,8902e2bfb1c3a776a151289cb46cae7f,2020-03-28T08:51:18Z,NA
7399,getCohortCounts,a82ad01c6e66238b8a3889f46f1499d6,2020-03-28T08:51:18Z,NA
7404,getCohortCounts,dbaea00721ca1036190f8dffb86762c7,2020-03-28T08:51:18Z,NA
7376,getCohortCounts,a2858c94d28031fd8dcac12121a8fb43,2020-03-28T08:51:18Z,NA
7361,getCohortCounts,3e79f89c1b6d59013d19b5a0d899453f,2020-03-28T08:51:18Z,NA
7362,getCohortCounts,ac178c8f7f888dd9f2ca5c61c5bdfe90,2020-03-28T08:51:18Z,NA
7370,getCohortCounts,f4a873182b5d713b85ebaea9c91d2549,2020-03-28T08:51:18Z,NA
7464,getCohortCounts,54245bb17609b636c3d733e56cf8ecf7,2020-03-28T08:51:18Z,NA
7364,getCohortCounts,03a681492ac62c76872b645c614fda55,2020-03-28T08:51:18Z,NA
14717,runInclusionStatistics,ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:51:18Z,NA
14867,runInclusionStatistics,eb969711a46a33c4db70bd1a7a4f1be1,2020-03-28T08:51:18Z,NA
7396,runInclusionStatistics,6c817b5690ed843bf21a68861ebf0613,2020-03-28T08:51:18Z,NA
7398,runInclusionStatistics,8710563ff5aa8f599321da088fc586a3,2020-03-28T08:51:18Z,NA
7382,runInclusionStatistics,4866ddaca6fc34709cb22ba179ba71db,2020-03-28T08:51:18Z,NA
7374,runInclusionStatistics,df4abfcd3d59a6896a47d839090084fe,2020-03-28T08:51:18Z,NA
7381,runInclusionStatistics,91bf9b1f1b23e5b8ce95d91358c90b7a,2020-03-28T08:51:18Z,NA
7400,runInclusionStatistics,1bbc74563344a4b47aeb9eedfa6475e6,2020-03-28T08:51:18Z,NA
7369,runInclusionStatistics,c09e26cee3e5d2532156548ee62cf419,2020-03-28T08:51:18Z,NA
7367,runInclusionStatistics,fe581221c3d08dea4b80399c7ceacd5c,2020-03-28T08:51:18Z,NA
7377,runInclusionStatistics,8902e2bfb1c3a776a151289cb46cae7f,2020-03-28T08:51:18Z,NA
7399,runInclusionStatistics,a82ad01c6e66238b8a3889f46f1499d6,2020-03-28T08:51:18Z,NA
7404,runInclusionStatistics,dbaea00721ca1036190f8dffb86762c7,2020-03-28T08:51:18Z,NA
7376,runInclusionStatistics,a2858c94d28031fd8dcac12121a8fb43,2020-03-28T08:51:18Z,NA
7361,runInclusionStatistics,3e79f89c1b6d59013d19b5a0d899453f,2020-03-28T08:51:18Z,NA
7362,runInclusionStatistics,ac178c8f7f888dd9f2ca5c61c5bdfe90,2020-03-28T08:51:18Z,NA
7370,runInclusionStatistics,f4a873182b5d713b85ebaea9c91d2549,2020-03-28T08:51:18Z,NA
7464,runInclusionStatistics,54245bb17609b636c3d733e56cf8ecf7,2020-03-28T08:51:18Z,NA
7364,runInclusionStatistics,03a681492ac62c76872b645c614fda55,2020-03-28T08:51:18Z,NA
