"cohortDefinitionId","ruleSequence","personCount","gainCount","personTotal","modeId"
1,0,47,0,47,0
1,1,31,16,47,0
1,2,46,1,47,0
1,0,46,0,46,1
1,1,30,16,46,1
1,2,46,0,46,1
2,0,47,0,47,0
2,1,46,1,47,0
2,0,46,0,46,1
2,1,46,0,46,1
3,0,54,0,54,0
3,1,37,17,54,0
3,2,53,1,54,0
3,0,51,0,51,1
3,1,34,17,51,1
3,2,51,0,51,1
4,0,54,0,54,0
4,1,53,1,54,0
4,0,51,0,51,1
4,1,51,0,51,1
