count_value,min_value,max_value,average_value,standard_deviation,median_value,p_10_value,p_25_value,p_75_value,p_90_value,time_metric,cohort_id,database_id
8,1,23,8.25,7.851296526234195,3,1,3,13,23,time (days) between cohort start and end,159,PREMIER
8,13,791,186.125,265.2989890132048,49,13,13,197,791,observation time (days) after index,159,PREMIER
8,1,2072,429.875,676.3480586418293,210,1,26,292,2072,observation time (days) prior to index,159,PREMIER
11,0,25,8.090909090909092,8.74590813414531,4,0,1,14,21,time (days) between cohort start and end,160,PREMIER
11,0,351,137.36363636363637,145.7101731021364,58,3,19,304,351,observation time (days) after index,160,PREMIER
11,1,2808,551.4545454545455,935.4983018302453,48,1,15,898,1819,observation time (days) prior to index,160,PREMIER
8,3,26,12,8.58570240075241,8,3,4,15,26,time (days) between cohort start and end,162,PREMIER
8,3,351,178.375,151.793974565151,87,3,19,304,351,observation time (days) after index,162,PREMIER
8,1,2808,732.125,1054.4682393780965,48,1,1,898,2808,observation time (days) prior to index,162,PREMIER
1,4,4,4,0,4,4,4,4,4,time (days) between cohort start and end,163,PREMIER
1,3,3,3,0,3,3,3,3,3,observation time (days) after index,163,PREMIER
1,1,1,1,0,1,1,1,1,1,observation time (days) prior to index,163,PREMIER
35,0,0,0,0,0,0,0,0,0,time (days) between cohort start and end,164,PREMIER
35,0,0,0,0,0,0,0,0,0,observation time (days) after index,164,PREMIER
35,0,3218,1011.0285714285715,1244.4803896952874,199,2,10,2317,3148,observation time (days) prior to index,164,PREMIER
13,4,45,10.076923076923077,11.280230039480124,6,4,5,8,20,time (days) between cohort start and end,166,PREMIER
13,5,537,56.07692307692308,145.0766817574195,13,7,8,21,55,observation time (days) after index,166,PREMIER
13,0,1143,160.69230769230768,318.6114102935279,21,0,0,120,337,observation time (days) prior to index,166,PREMIER
3,4,8,6,2,6,4,4,8,8,time (days) between cohort start and end,167,PREMIER
3,5,19,10.333333333333334,7.571877794400365,7,5,5,19,19,observation time (days) after index,167,PREMIER
3,0,120,40.333333333333336,68.9951689129995,1,0,0,120,120,observation time (days) prior to index,167,PREMIER
10,4,45,11.3,12.710887721424758,6,4,5,9,20,time (days) between cohort start and end,169,PREMIER
10,8,537,69.8,164.7528789160029,13,8,10,22,55,observation time (days) after index,169,PREMIER
10,0,1143,196.8,357.7928637261137,21,0,0,324,337,observation time (days) prior to index,169,PREMIER
2,2,32,17,21.213203435596427,2,2,2,32,32,time (days) between cohort start and end,170,PREMIER
2,50,332,191,199.4041122946064,50,50,50,332,332,observation time (days) after index,170,PREMIER
2,6,552,279,386.0803025278549,6,6,6,552,552,observation time (days) prior to index,170,PREMIER
1,6,6,6,0,6,6,6,6,6,time (days) between cohort start and end,171,PREMIER
1,7,7,7,0,7,7,7,7,7,observation time (days) after index,171,PREMIER
1,1,1,1,0,1,1,1,1,1,observation time (days) prior to index,171,PREMIER
2,7,32,19.5,17.67766952966369,7,7,7,32,32,time (days) between cohort start and end,172,PREMIER
2,31,537,284,357.796031280393,31,31,31,537,537,observation time (days) after index,172,PREMIER
2,0,1143,571.5,808.2230508962238,0,0,0,1143,1143,observation time (days) prior to index,172,PREMIER
