"cohortDefinitionId","inclusionRuleMask","personCount","modeId"
5,7,2,0
5,7,2,1
6,3,2,0
6,3,2,1
7,7,2,0
7,7,2,1
8,3,2,0
8,3,2,1
9,2,1,0
9,6,1,0
9,7,6,0
9,6,1,1
9,7,6,1
10,0,1,0
10,3,6,0
10,2,1,0
10,3,6,1
10,2,1,1
11,7,13,0
11,2,1,0
11,6,2,0
11,3,1,0
11,7,11,1
11,6,1,1
12,1,1,0
12,2,2,0
12,0,1,0
12,3,13,0
12,2,1,1
12,3,11,1
