either_subjects,both_subjects,t_only_subjects,c_only_subjects,t_before_c_subjects,c_before_t_subjects,same_day_subjects,t_in_c_subjects,c_in_t_subjects,target_cohort_id,comparator_cohort_id,database_id
47,12,35,0,-5,0,10,10,10,14864,14865,MDCD
77,-5,43,30,-5,-5,-5,-5,-5,14864,14871,MDCD
46,0,12,34,NA,NA,NA,NA,NA,14865,14871,MDCD
47,12,0,35,0,-5,10,10,10,14865,14864,MDCD
77,-5,30,43,-5,-5,-5,-5,-5,14871,14864,MDCD
46,0,34,12,NA,NA,NA,NA,NA,14871,14865,MDCD
