count_value,min_value,max_value,average_value,standard_deviation,median_value,p_10_value,p_25_value,p_75_value,p_90_value,time_metric,cohort_id,database_id
54,2,235,18.537037037037038,44.200534856732716,2,2,2,11,49,time (days) between cohort start and end,156,PREMIER
54,3,4409,1382.8333333333333,1442.2450234087028,855,21,159,2288,4004,observation time (days) after index,156,PREMIER
54,0,6061,2090.185185185185,1740.820128495871,1570,62,464,3311,4337,observation time (days) prior to index,156,PREMIER
48,2,235,20.5,46.54487653775541,2,2,2,15,58,time (days) between cohort start and end,157,PREMIER
48,3,4409,1426.6458333333333,1508.6659104467005,841,20,153,2329,4038,observation time (days) after index,157,PREMIER
48,0,5899,2002.9791666666667,1625.7359248749713,1570,8,373,3242,3942,observation time (days) prior to index,157,PREMIER
107,1,173,16.252336448598133,21.556898584095528,10,2,5,18,40,time (days) between cohort start and end,159,PREMIER
107,4,4458,1028.4766355140187,956.875106159928,762,27,246,1480,2618,observation time (days) after index,159,PREMIER
107,0,6410,2998.0654205607475,2102.9181085224104,2965,0,891,4987,5831,observation time (days) prior to index,159,PREMIER
66,0,59,12.015151515151516,14.332848151380665,7,1,1,16,34,time (days) between cohort start and end,160,PREMIER
66,1,4452,918.1515151515151,997.3559081186653,527,14,115,1519,2044,observation time (days) after index,160,PREMIER
66,0,6410,3678.8030303030305,2045.2861241979886,4182,91,1956,5284,6020,observation time (days) prior to index,160,PREMIER
14,2,56,8.714285714285714,14.344275574536407,2,2,2,9,16,time (days) between cohort start and end,161,PREMIER
14,64,3712,1282.9285714285713,1026.1137636948235,1059,87,368,1946,2317,observation time (days) after index,161,PREMIER
14,141,6020,3399,1600.996612690406,3342,1371,2302,4686,4819,observation time (days) prior to index,161,PREMIER
35,1,57,15.542857142857143,16.946876958763294,8,2,4,22,50,time (days) between cohort start and end,162,PREMIER
35,7,4452,1104.4,1108.9181850688854,831,14,188,1716,2533,observation time (days) after index,162,PREMIER
35,0,6410,4112.4,1801.7939622367874,4610,1341,3076,5551,6020,observation time (days) prior to index,162,PREMIER
7,2,26,14.714285714285714,8.750510189207745,14,2,8,25,26,time (days) between cohort start and end,163,PREMIER
7,3,505,181.28571428571428,202.7779691236323,115,3,19,415,505,observation time (days) after index,163,PREMIER
7,0,6316,1804.142857142857,2241.7292751037407,1160,0,19,2844,6316,observation time (days) prior to index,163,PREMIER
13,0,53,6.153846153846154,14.898803944423156,0,0,0,1,15,time (days) between cohort start and end,164,PREMIER
13,0,53,6.153846153846154,14.898803944423156,0,0,0,1,15,observation time (days) after index,164,PREMIER
13,3,6357,2540.076923076923,2575.616413648665,1605,9,98,4948,6308,observation time (days) prior to index,164,PREMIER
19,1,327,52.63157894736842,96.57594048572219,2,2,2,33,233,time (days) between cohort start and end,170,PREMIER
19,4,5411,3157.6315789473683,1333.6366825974721,3731,1187,2079,4055,4320,observation time (days) after index,170,PREMIER
19,0,4492,2773.157894736842,1147.6847352221725,2594,950,2280,3589,4303,observation time (days) prior to index,170,PREMIER
18,3,147,20.22222222222222,34.286947534620666,6,3,3,21,57,time (days) between cohort start and end,171,PREMIER
18,434,5547,2444.4444444444443,1507.6235378986837,1819,818,1349,3490,5258,observation time (days) after index,171,PREMIER
18,421,4726,2760,1211.817109089632,2932,631,2113,3400,4267,observation time (days) prior to index,171,PREMIER
5,3,147,43,61.13918547053109,13,3,3,49,147,time (days) between cohort start and end,172,PREMIER
5,719,1820,1266.6,483.0701812366398,1224,719,882,1688,1820,observation time (days) after index,172,PREMIER
5,2588,4726,4055.8,853.8244550257389,4267,2588,4130,4568,4726,observation time (days) prior to index,172,PREMIER
3,6,8,7,1,7,6,6,8,8,time (days) between cohort start and end,174,PREMIER
3,25,2286,828.6666666666666,1264.3141750899313,175,25,25,2286,2286,observation time (days) after index,174,PREMIER
3,1103,4348,3216.3333333333335,1831.7364257265108,4198,1103,1103,4348,4348,observation time (days) prior to index,174,PREMIER
5,0,25,9.8,9.257429448826494,9,0,6,9,25,time (days) between cohort start and end,175,PREMIER
5,5,1818,494.4,761.7836306983762,173,5,20,456,1818,observation time (days) after index,175,PREMIER
5,527,6300,2565.2,2192.4099069289027,1889,527,1785,2325,6300,observation time (days) prior to index,175,PREMIER
327,7,463,26.541284403669724,42.87237418529439,9,8,8,26,59,time (days) between cohort start and end,176,PREMIER
327,0,5462,1355.0703363914374,1445.1686523336725,766,57,239,2007,3785,observation time (days) after index,176,PREMIER
327,366,6429,3283.993883792049,1783.6620735443455,3224,938,1726,4964,5814,observation time (days) prior to index,176,PREMIER
63,1,36,4.777777777777778,7.265571585632463,2,1,1,4,10,time (days) between cohort start and end,177,PREMIER
63,0,5501,1089.6666666666667,1245.6098389815897,806,10,97,1552,2379,observation time (days) after index,177,PREMIER
63,0,6410,2043.6507936507937,2041.3189613322365,1463,0,7,3754,5013,observation time (days) prior to index,177,PREMIER
