"","visitYear","personCount"
"1",2019,35184
"2",2016,10475
"3",2017,14556
"4",2018,20234
"5",2014,6622
"6",2013,5081
"7",2015,7806
"8",2020,32780
"9",2011,2463
"10",2012,3606
