"","visitYear","personRatio"
"1",2011,1.8
"2",2012,2.6
"3",2013,3.7
"4",2014,4.8
"5",2015,5.6
"6",2016,7.5
"7",2017,10.5
"8",2018,14.6
"9",2019,25.4
"10",2020,23.6
