"","visitYear","personRatio"
"1",2011,0.3
"2",2012,0.5
"3",2013,1.2
"4",2014,1.8
"5",2015,2.1
"6",2016,2.5
"7",2017,3.6
"8",2018,5.7
"9",2019,11.9
"10",2020,70.4
