cohort_id,cohort_entries,cohort_subjects,database_id
100,182,182,PREMIER
101,247,247,PREMIER
102,170,170,PREMIER
103,164,164,PREMIER
104,185,185,PREMIER
105,98,98,PREMIER
106,-5,-5,PREMIER
107,9,9,PREMIER
108,47,47,PREMIER
109,15,15,PREMIER
117,20,20,PREMIER
118,87,87,PREMIER
119,13,13,PREMIER
120,41,41,PREMIER
125,396,396,PREMIER
199,97,57,PREMIER
200,982,598,PREMIER
203,181,181,PREMIER
204,165,165,PREMIER
205,-5,-5,PREMIER
206,26,26,PREMIER
