cohortDefinitionId,baseCount,finalCount,modeId
14871,37,37,0
14871,34,34,1
14870,0,0,0
14870,0,0,1
14869,0,0,0
14869,0,0,1
14865,16,16,0
14865,12,12,1
14864,116,116,0
14864,47,47,1
