"","visitYear","personRatio"
"1",2005,1.7
"2",2006,1.6
"3",2007,1.9
"4",2008,2.2
"5",2009,2.7
"6",2010,2.7
"7",2011,3.1
"8",2012,3.2
"9",2013,3.4
"10",2014,4.1
"11",2015,4.7
"12",2016,5.4
"13",2017,6.4
"14",2018,7.8
"15",2019,12
"16",2020,37.1
