"","visitYear","personRatio"
"1",2005,1.4
"2",2006,1.3
"3",2007,1.5
"4",2008,1.8
"5",2009,2.3
"6",2010,2.2
"7",2011,2.5
"8",2012,2.6
"9",2013,2.7
"10",2014,3.5
"11",2015,4.4
"12",2016,5.2
"13",2017,6.6
"14",2018,7.9
"15",2019,13.5
"16",2020,40.7
"17",2021,0
