"","visitYear","personRatio"
"1",2005,1.5
"2",2006,1.6
"3",2007,1.8
"4",2008,2.1
"5",2009,2.7
"6",2010,2.6
"7",2011,3.1
"8",2012,3.1
"9",2013,3.3
"10",2014,4
"11",2015,4.6
"12",2016,5.2
"13",2017,6.2
"14",2018,7.6
"15",2019,11.4
"16",2020,39.1
"17",2021,0
