"","visitYear","personRatio"
"1",2005,0
"2",2006,0
"3",2007,0.1
"4",2008,0.1
"5",2009,0.1
"6",2010,0.1
"7",2011,0.1
"8",2012,0.1
"9",2013,0.2
"10",2014,0.3
"11",2015,0.4
"12",2016,0.4
"13",2017,0.6
"14",2018,0.7
"15",2019,1.4
"16",2020,3.3
"17",NA,91.9
