"","visitYear","personRatio"
"1",2002,0.8
"2",2003,2
"3",2004,2.3
"4",2005,2.6
"5",2006,2.8
"6",2007,3.1
"7",2008,3.8
"8",2009,4.4
"9",2010,4.7
"10",2011,5.1
"11",2012,5.6
"12",2013,4.6
"13",2014,4.8
"14",2015,5.5
"15",2016,6.2
"16",2017,6.9
"17",2018,7.9
"18",2019,11.2
"19",2020,15.6
