"","visitYear","personRatio"
"1",2005,1.8
"2",2006,2.1
"3",2007,2.6
"4",2008,3.3
"5",2009,4.3
"6",2010,5
"7",2011,5.8
"8",2012,6.3
"9",2013,4.9
"10",2014,5.3
"11",2015,6.3
"12",2016,7
"13",2017,8
"14",2018,9.3
"15",2019,12.8
"16",2020,15.3
